Date,Amount
2022-03-31,107520.90318286845
2022-04-01,935523.2381944215
2022-04-02,977309.115011553
2022-04-03,1075970.9650115531
2022-04-04,941078.2632934478
2022-04-05,1014751.6350115531
2022-04-06,940815.8615753425
2022-04-07,975404.0579410794
2022-04-08,1079582.3876877374
2022-04-09,1031095.5732934477
2022-04-10,1127767.5086458162
2022-04-11,1015712.5394058425
2022-04-12,942321.7545048688
2022-04-13,1045116.2538001321
2022-04-14,1186126.444053474
2022-04-15,1123772.0341087638
2022-04-16,1082695.1140534743
2022-04-17,992728.817181053
2022-04-18,954150.9752648952
2022-04-19,1030099.9981944215
2022-04-20,1154836.8720820267
2022-04-21,1043956.902588711
2022-04-22,1041592.6435467899
2022-04-23,1149312.9059696319
2022-04-24,1154474.272588711
2022-04-25,1046512.3952648952
2022-04-26,964580.4115753424
2022-04-27,905804.3045048688
2022-04-28,887004.1998572372
2022-04-29,912293.5340534742
2022-04-30,1050056.051630632
2022-05-01,1147407.9123353688
2022-05-02,1267665.5953201847
2022-05-03,1295564.6702211585
2022-05-04,1305351.266784948
2022-05-05,954371.8247582109
2022-05-06,950389.5022800792
2022-05-07,960984.4313220003
2022-05-08,961192.1532934478
2022-05-09,850508.1393505529
2022-05-10,774204.6742515266
2022-05-11,787740.5069277108
2022-05-12,736250.9866743687
2022-05-13,770334.9561676844
2022-05-14,810976.9566743687
2022-05-15,951719.0788991583
2022-05-16,804654.8437448423
2022-05-17,800589.5105619739
2022-05-18,848778.4357162898
2022-05-19,818237.060815316
2022-05-20,743821.6978857897
2022-05-21,732812.9390972108
2022-05-22,824897.8169277108
2022-05-23,800032.739603895
2022-05-24,813288.9915753425
2022-05-25,864877.6425334214
2022-05-26,813667.4639981845
2022-05-27,868462.2945048688
2022-05-28,902871.517181053
2022-05-29,864341.4769277108
2022-05-30,866754.4413220003
2022-05-31,955602.5686458162
2022-06-01,997043.5491525003
2022-06-02,949854.8601105793
2022-06-03,789426.5457162898
2022-06-04,938523.9639981845
2022-06-05,1046815.0003639214
2022-06-06,1011700.9774343951
2022-06-07,1021333.545969632
2022-06-08,1034868.1667296584
2022-06-09,1024687.7979410794
2022-06-10,849384.7342515267
2022-06-11,907249.9581391319
2022-06-12,1025291.4581944215
2022-06-13,931505.0615753424
2022-06-14,953713.1730401056
2022-06-15,850594.0279410793
2022-06-16,820321.4337448424
2022-06-17,797288.3327867634
2022-06-18,790444.4898572372
2022-06-19,776537.0254629477
2022-06-20,803461.3354629477
2022-06-21,863489.5332934478
2022-06-22,838068.5262229741
2022-06-23,707262.9586458161
2022-06-24,671208.6622800792
2022-06-25,694445.390815316
2022-06-26,808632.3390972108
2022-06-27,750444.1120267371
2022-06-28,821376.2013220004
2022-06-29,430339.0424781317
